trees     train-auc-mean  train-auc-std  test-auc-mean  test-auc-std
999        0.870805       0.000788       0.855868      0.003847
999        0.837538       0.000889       0.835964      0.003254
19         0.88181       0.000908       0.855442      0.003385
39        0.880577       0.000537       0.855361      0.004114
316        0.891461       0.000719       0.855859      0.003672
55        0.868912       0.001021       0.853668      0.003794
453        0.862631       0.000881       0.855571      0.003638
169        0.871412       0.000965       0.853289      0.003369
255        0.870964       0.001079       0.855994      0.003483
21         0.87717       0.000882       0.851384      0.003819
164        0.891123       0.000612       0.857509      0.003645
23        0.899641       0.000586       0.852705      0.003414
21        0.891007       0.000882       0.853862      0.003937
10        0.896812       0.000809       0.850075      0.003473
145         0.90052       0.000638       0.857937      0.003718
23         0.91624       0.001318       0.853929      0.004387
260        0.907762       0.000579       0.859293      0.003717
29        0.890614       0.000199       0.853656      0.003436
318        0.892138       0.000674       0.858542      0.003648
344        0.872036       0.000824       0.857111      0.003589
55        0.869234       0.000913       0.852628      0.003139
102        0.886006       0.000823       0.855389       0.00366
999        0.848792       0.000851       0.845342      0.003544
86        0.872555       0.000803       0.853285      0.003406
16        0.891322       0.000651       0.853693      0.003374
21        0.866337       0.000465       0.850421       0.00315
285        0.896011       0.000573       0.859088      0.003645
23        0.874731       0.001052       0.853114      0.003567
40        0.889488       0.000924       0.853301       0.00339
58        0.872928        0.00049       0.853822      0.003354
16        0.877732       0.000536       0.851611      0.003303
23        0.885964       0.000841       0.852604      0.004133
14        0.869241       0.000444       0.847492      0.003555
431        0.879526         0.0007       0.855871      0.003802
999        0.863924        0.00091       0.857141      0.003693
776        0.847446       0.000792       0.842444      0.003483
82         0.88162       0.000665       0.857083      0.003526
809        0.845111       0.000863       0.841844      0.003528
999        0.850476       0.000774       0.846522      0.003743
16        0.867717       0.000823       0.851214       0.00329
141         0.88333       0.000569       0.856543      0.003712
210        0.903329       0.000707       0.857184      0.003756
637        0.877144       0.000783       0.858377      0.003748
155         0.87888       0.000789       0.856366       0.00349
9        0.882486       0.003094       0.846318      0.003623
